palabra,nlet,acen,ace_i,ace_f,voc,v_op,v_cl,repet,cons,p_alin,p_cons,v_ini,v_fin,cont_e,cont_a,cont_o,cont_s,cont_r,cont_n,cont_j,cont_m,cont_k,cont_w,propio
a,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0
aaronita,8,0,0,0,5,1,4,1,3,5,4,1,1,0,3,1,0,1,1,0,0,0,0,0.0
aarónico,8,1,1,0,5,1,4,1,3,5,4,1,1,0,2,1,0,1,1,0,0,0,0,0.0
aba,3,0,0,0,2,0,2,0,1,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0.0
ababa,5,0,0,0,3,0,3,0,2,4,2,1,1,0,3,0,0,0,0,0,0,0,0,0.0
ababillarse,11,0,0,0,5,1,4,1,6,6,-9,1,1,1,3,0,1,1,0,0,0,0,0,0.0
ababol,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,2,1,0,0,0,0,0,0,0,0.0
abacal,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,3,0,0,0,0,0,0,0,0,0.0
abacalero,9,0,0,0,5,0,5,0,4,8,4,1,1,1,3,1,0,1,0,0,0,0,0,0.0
abacero,7,0,0,0,4,0,4,0,3,6,3,1,1,1,2,1,0,1,0,0,0,0,0,0.0
abacería,8,1,0,1,5,1,4,0,3,5,10,1,1,1,3,0,0,1,0,0,0,0,0,0.0
abacial,7,0,0,0,4,1,3,0,3,4,1,1,0,0,3,0,0,0,0,0,0,0,0,0.0
abacora,7,0,0,0,4,0,4,0,3,6,3,1,1,0,3,1,0,1,0,0,0,0,0,0.0
abacorar,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,3,1,0,2,0,0,0,0,0,0.0
abacá,5,1,0,1,3,0,3,0,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0.0
abad,4,0,0,0,2,0,2,0,2,3,-2,1,0,0,2,0,0,0,0,0,0,0,0,0.0
abada,5,0,0,0,3,0,3,0,2,4,2,1,1,0,3,0,0,0,0,0,0,0,0,0.0
abadejo,7,0,0,0,4,0,4,0,3,6,3,1,1,1,2,1,0,0,0,1,0,0,0,0.0
abadengo,8,0,0,0,4,0,4,0,4,5,-2,1,1,1,2,1,0,0,1,0,0,0,0,0.0
abadernar,9,0,0,0,4,0,4,0,5,6,-10,1,0,1,3,0,0,2,1,0,0,0,0,0.0
abadesa,7,0,0,0,4,0,4,0,3,6,3,1,1,1,3,0,1,0,0,0,0,0,0,0.0
abadiado,8,0,0,0,5,1,4,0,3,5,8,1,1,0,3,1,0,0,0,0,0,0,0,0.0
abadiato,8,0,0,0,5,1,4,0,3,5,8,1,1,0,3,1,0,0,0,0,0,0,0,0.0
abadí,5,1,0,1,3,1,2,0,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0.0
abadía,6,1,0,1,4,1,3,0,2,3,7,1,1,0,3,0,0,0,0,0,0,0,0,0.0
abajadero,9,0,0,0,5,0,5,0,4,8,4,1,1,1,3,1,0,1,0,1,0,0,0,0.0
abajamiento,11,0,0,0,6,1,5,0,5,6,3,1,1,1,3,1,0,0,1,1,1,0,0,0.0
abajar,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,3,0,0,1,0,1,0,0,0,0.0
abajera,7,0,0,0,4,0,4,0,3,6,3,1,1,1,3,0,0,1,0,1,0,0,0,0.0
abajeño,7,0,0,0,4,0,4,0,3,6,3,1,1,1,2,1,0,0,0,1,0,0,0,0.0
abajo,5,0,0,0,3,0,3,0,2,4,2,1,1,0,2,1,0,0,0,1,0,0,0,0.0
abalada,7,0,0,0,4,0,4,0,3,6,3,1,1,0,4,0,0,0,0,0,0,0,0,0.0
abalanzar,9,0,0,0,4,0,4,0,5,6,-10,1,0,0,4,0,0,1,1,0,0,0,0,0.0
abalar,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,3,0,0,1,0,0,0,0,0,0.0
abalaustrado,12,0,0,0,6,1,5,0,6,5,-4,1,1,0,4,1,1,1,0,0,0,0,0,0.0
abaldonadamente,15,0,0,0,7,0,7,0,8,10,-9,1,1,2,4,1,0,0,2,0,1,0,0,0.0
abaldonamiento,14,0,0,0,7,1,6,0,7,7,1,1,1,1,3,2,0,0,2,0,1,0,0,0.0
abaldonar,9,0,0,0,4,0,4,0,5,6,-8,1,0,0,3,1,0,1,1,0,0,0,0,0.0
